Cu,Ni,Au,Pd,Pt,E<sub>Coh</sub> [eV/atom],C<sub>11</sub> [GPa],C<sub>22</sub> [GPa],C<sub>33</sub> [GPa],C<sub>12</sub> [GPa],C<sub>13</sub> [GPa],C<sub>23</sub> [GPa],C<sub>44</sub> [GPa],C<sub>55</sub> [GPa],C<sub>66</sub> [GPa],G<sub>V</sub> [GPa],G<sub>R</sub> [GPa],G [GPa],B [GPa],E<sub>VRH</sub> [GPa],Poisson's ratio []
56.25,0,6.25,37.5,0,3.66,180.27,190.00,175.37,131.33,141.47,133.18,62.52,66.66,76.96,50.54,37.17,43.85,150.85,119.94,0.37
56.25,0,6.25,37.5,0,3.65,190.39,189.27,173.24,130.45,136.37,134.62,66.40,70.42,76.57,52.78,40.26,46.52,150.65,126.54,0.36
56.25,0,37.5,6.25,0,3.37,154.26,181.32,177.62,131.86,129.22,118.46,51.74,51.00,48.82,39.22,30.56,34.89,141.36,96.71,0.39
56.25,0,37.5,6.25,0,3.39,181.20,177.02,167.06,119.00,130.45,128.11,45.57,46.60,69.90,42.26,34.94,38.60,142.27,106.19,0.38
56.25,0,37.5,6.25,0,3.39,161.00,158.05,157.03,130.67,128.42,140.36,45.11,58.52,37.90,33.42,20.71,27.06,141.66,76.33,0.41
75,0,12.5,12.5,0,3.52,188.88,187.56,188.70,126.84,120.75,123.70,68.14,77.60,74.25,56.92,48.47,52.69,145.30,141.03,0.34
75,0,12.5,12.5,0,3.53,174.79,187.95,188.99,133.40,130.56,112.90,72.58,78.34,85.26,58.89,44.01,51.45,145.05,138.03,0.34
75,0,12.5,12.5,0,3.53,182.64,180.22,181.09,124.76,127.40,127.47,58.44,64.15,67.53,48.98,41.44,45.21,144.80,122.85,0.36
12.5,0,75,12.5,0,3.23,164.74,167.91,167.87,131.45,132.10,130.69,39.33,43.18,49.94,33.58,27.50,30.54,143.22,85.53,0.40
12.5,0,75,12.5,0,3.24,165.44,168.75,162.22,129.76,134.02,132.17,28.14,45.42,47.67,30.94,25.00,27.97,143.14,78.78,0.41
12.5,0,75,12.5,0,3.24,165.97,167.54,164.52,139.75,125.25,135.28,51.55,52.70,23.33,32.03,23.63,27.83,144.29,78.45,0.41
12.5,0,12.5,75,0,3.68,186.34,188.83,187.87,144.71,147.90,144.92,67.90,66.39,72.21,49.67,35.81,42.74,159.79,117.72,0.38
12.5,0,12.5,75,0,3.68,190.65,193.09,195.02,143.43,142.40,144.76,66.49,65.31,68.13,49.86,39.66,44.76,159.99,122.83,0.37
12.5,0,12.5,75,0,3.68,187.05,191.79,189.49,141.94,148.28,146.12,63.34,69.85,72.18,49.87,36.82,43.35,160.11,119.27,0.38
62.5,0,12.5,25,0,3.58,181.31,178.85,187.12,134.90,128.72,125.43,66.33,62.97,66.03,49.61,40.46,45.04,147.27,122.61,0.36
