Cu,Ni,Au,Pd,Pt,E<sub>Coh</sub> [eV/atom],C<sub>11</sub> [GPa],C<sub>22</sub> [GPa],C<sub>33</sub> [GPa],C<sub>12</sub> [GPa],C<sub>13</sub> [GPa],C<sub>23</sub> [GPa],C<sub>44</sub> [GPa],C<sub>55</sub> [GPa],C<sub>66</sub> [GPa],G<sub>V</sub> [GPa],G<sub>R</sub> [GPa],G [GPa],B [GPa],E<sub>VRH</sub> [GPa],Poisson's ratio []
6.25,56.25,37.5,0,0,4.02,210.57,209.73,208.84,138.70,143.99,143.33,62.95,74.03,82.48,57.43,49.61,53.52,164.58,144.86,0.35
37.5,56.25,6.25,0,0,4.21,222.94,224.02,223.27,142.87,144.12,144.27,91.55,97.39,97.13,73.14,61.19,67.17,170.31,178.09,0.33
37.5,56.25,6.25,0,0,4.21,223.35,221.10,220.08,142.92,144.79,146.22,93.62,98.61,98.33,73.49,60.17,66.83,170.27,177.29,0.33
37.5,56.25,6.25,0,0,4.21,221.77,220.82,222.65,145.89,143.09,144.91,95.39,98.68,94.56,73.15,60.17,66.66,170.34,176.90,0.33
12.5,75,12.5,0,0,4.43,230.86,237.27,231.68,149.74,154.33,150.78,86.94,99.31,98.89,73.36,61.85,67.60,178.84,180.12,0.33
12.5,75,12.5,0,0,4.43,239.18,229.19,241.72,150.58,149.62,150.60,99.19,101.05,103.89,78.11,65.77,71.94,179.08,190.33,0.32
12.5,75,12.5,0,0,4.42,224.80,236.81,237.43,149.86,153.98,149.41,88.98,98.76,99.28,73.79,62.07,67.93,178.39,180.84,0.33
75,12.5,12.5,0,0,3.62,196.01,190.33,191.34,128.03,120.00,128.33,76.60,84.89,73.08,60.34,50.64,55.49,147.82,147.95,0.33
75,12.5,12.5,0,0,3.61,194.10,192.64,188.57,122.25,126.48,127.46,68.90,83.47,82.20,60.19,50.38,55.28,147.52,147.43,0.33
75,12.5,12.5,0,0,3.62,195.64,189.68,198.03,125.19,124.48,127.73,75.67,84.12,80.49,61.79,52.09,56.94,148.68,151.48,0.33
12.5,12.5,75,0,0,3.32,161.56,179.29,171.20,132.27,135.91,125.20,43.33,33.10,48.24,32.85,27.13,29.99,144.31,84.14,0.40
12.5,12.5,75,0,0,3.30,165.21,173.04,152.97,119.38,141.13,140.97,24.44,47.10,45.33,29.36,15.34,22.35,143.80,63.74,0.43
12.5,12.5,75,0,0,3.31,182.44,159.19,168.76,126.63,127.15,139.96,36.85,50.27,32.12,31.62,25.08,28.35,144.21,79.82,0.41
12.5,62.5,25,0,0,4.19,218.12,227.90,219.51,143.01,143.76,147.34,82.02,90.65,74.91,64.95,56.48,60.71,170.42,162.81,0.34
12.5,62.5,25,0,0,4.19,216.60,219.17,215.58,143.21,149.93,143.37,71.42,79.19,84.63,61.37,52.84,57.10,169.37,154.00,0.35
25,62.5,12.5,0,0,4.26,228.07,221.60,221.53,142.96,146.74,149.54,82.37,95.89,98.28,70.77,58.99,64.88,172.19,172.92,0.33
25,12.5,62.5,0,0,3.38,175.89,171.91,166.10,127.13,135.71,135.28,39.17,54.82,52.72,37.06,29.18,33.12,145.57,92.36,0.39
25,12.5,62.5,0,0,3.36,170.78,152.61,173.38,129.60,128.99,137.97,38.75,51.14,34.93,31.65,24.10,27.87,143.32,78.53,0.41
62.5,12.5,25,0,0,3.56,191.29,179.80,189.76,130.20,122.93,130.24,64.49,72.89,65.78,52.46,44.07,48.27,147.51,130.56,0.35
62.5,25,12.5,0,0,3.78,188.93,188.46,184.09,135.81,136.95,139.10,71.28,79.97,76.53,55.53,41.61,48.57,153.91,131.84,0.36
62.5,25,12.5,0,0,3.77,190.00,189.06,184.94,136.50,136.56,138.84,70.96,81.12,79.06,56.37,42.29,49.33,154.20,133.73,0.36
12.5,25,62.5,0,0,3.50,186.03,181.23,163.39,117.75,143.34,141.06,23.03,55.50,57.79,35.83,23.78,29.81,148.33,83.81,0.41
12.5,81.25,6.25,0,0,4.56,242.51,242.45,242.02,152.25,155.65,155.30,101.64,108.12,108.89,81.31,67.75,74.53,183.71,196.97,0.32
12.5,81.25,6.25,0,0,4.56,241.93,241.93,240.54,149.90,155.74,155.74,101.80,111.11,111.11,82.34,67.97,75.15,183.02,198.32,0.32
6.25,81.25,12.5,0,0,4.51,245.46,231.64,245.37,151.49,150.01,155.25,89.87,100.40,99.03,75.58,65.23,70.40,181.77,187.06,0.33
81.25,12.5,6.25,0,0,3.64,187.01,189.24,191.13,128.61,128.64,123.45,78.88,75.38,85.99,60.49,48.92,54.71,147.64,146.08,0.34
81.25,6.25,12.5,0,0,3.53,180.65,182.19,179.02,139.37,135.50,142.89,69.22,77.34,62.16,50.02,35.45,42.73,153.04,117.28,0.37
81.25,6.25,12.5,0,0,3.53,175.31,179.27,180.30,125.70,126.13,126.22,66.04,57.54,72.05,49.58,40.66,45.12,143.44,122.51,0.36
12.5,6.25,81.25,0,0,3.20,161.73,161.73,152.40,130.91,134.00,134.00,29.22,37.41,37.41,25.94,19.98,22.96,141.52,65.34,0.42
6.25,87.5,6.25,0,0,4.65,249.18,247.64,249.89,157.49,154.56,156.56,107.74,111.79,112.19,84.88,71.10,77.99,187.10,205.44,0.32
6.25,87.5,6.25,0,0,4.65,249.48,250.09,249.50,154.95,156.28,156.96,106.58,112.25,111.52,84.80,71.44,78.12,187.27,205.75,0.32
6.25,87.5,6.25,0,0,4.65,250.33,250.33,249.23,152.90,156.82,156.82,104.28,112.49,112.49,84.74,71.67,78.21,187.00,205.91,0.32
87.5,6.25,6.25,0,0,3.56,172.87,172.59,169.99,127.08,129.05,133.75,67.67,81.97,69.78,52.25,36.20,44.23,143.91,120.35,0.36
87.5,6.25,6.25,0,0,3.56,172.87,172.65,170.16,127.10,129.13,133.87,67.67,81.98,69.77,52.26,36.21,44.23,143.99,120.37,0.36
87.5,6.25,6.25,0,0,3.56,172.88,172.62,169.98,127.08,129.04,133.76,67.67,81.98,69.78,52.26,36.21,44.23,143.92,120.37,0.36
6.25,6.25,87.5,0,0,3.17,167.71,167.44,161.74,127.59,136.04,131.51,29.92,30.88,42.03,27.35,23.57,25.46,143.02,72.10,0.42
6.25,6.25,87.5,0,0,3.17,167.42,167.72,161.75,127.59,131.49,136.04,29.94,42.02,30.88,27.35,23.58,25.46,143.01,72.11,0.42
6.25,6.25,87.5,0,0,3.17,167.44,167.74,161.71,127.60,131.49,136.04,29.92,42.03,30.89,27.35,23.57,25.46,143.02,72.10,0.42
