Cu,Ni,Au,Pd,Pt,E<sub>Coh</sub> [eV/atom],C<sub>11</sub> [GPa],C<sub>22</sub> [GPa],C<sub>33</sub> [GPa],C<sub>12</sub> [GPa],C<sub>13</sub> [GPa],C<sub>23</sub> [GPa],C<sub>44</sub> [GPa],C<sub>55</sub> [GPa],C<sub>66</sub> [GPa],G<sub>V</sub> [GPa],G<sub>R</sub> [GPa],G [GPa],B [GPa],E<sub>VRH</sub> [GPa],Poisson's ratio []
12.5,25,0,62.5,0,4.00,203.05,209.81,209.03,147.82,146.10,142.31,83.60,80.74,83.55,61.96,49.30,55.63,166.04,150.12,0.35
12.5,81.25,0,6.25,0,4.62,242.79,244.16,245.12,153.52,154.31,152.62,112.17,112.29,114.05,85.81,70.64,78.23,183.66,205.50,0.31
12.5,81.25,0,6.25,0,4.62,246.58,245.56,246.05,154.19,154.46,154.26,110.70,112.25,112.34,85.41,70.99,78.20,184.89,205.61,0.31
6.25,81.25,0,12.5,0,4.63,246.72,245.65,243.48,150.72,153.26,155.20,104.07,110.75,108.82,83.17,70.16,76.67,183.80,201.92,0.32
81.25,12.5,0,6.25,0,3.70,181.92,182.59,182.91,137.98,131.27,130.96,85.38,86.02,85.88,61.27,42.63,51.95,149.76,139.69,0.34
6.25,12.5,0,81.25,0,3.88,202.31,202.31,198.80,145.29,148.88,148.88,68.67,74.22,74.22,54.12,42.86,48.49,165.50,132.52,0.37
6.25,12.5,0,81.25,0,3.88,203.72,204.22,206.86,147.26,147.04,144.86,75.43,75.65,76.69,57.26,46.32,51.79,165.90,140.73,0.36
81.25,6.25,0,12.5,0,3.65,179.02,179.02,176.32,135.21,131.49,131.49,81.83,81.55,81.55,58.06,40.00,49.03,147.86,132.46,0.35
81.25,6.25,0,12.5,0,3.65,179.05,179.75,177.23,135.79,132.70,128.83,83.43,79.20,85.52,58.88,40.53,49.70,147.85,134.09,0.35
12.5,6.25,0,81.25,0,3.81,195.18,197.26,197.43,147.81,148.25,143.44,72.27,69.65,75.33,53.48,41.08,47.28,163.21,129.34,0.37
6.25,87.5,0,6.25,0,4.71,253.96,253.96,253.75,154.72,155.34,155.34,114.97,116.82,116.82,89.47,75.39,82.43,188.05,215.77,0.31
6.25,87.5,0,6.25,0,4.72,255.45,255.32,254.49,155.17,155.22,154.75,115.49,116.42,117.24,89.84,76.03,82.93,188.39,216.97,0.31
6.25,87.5,0,6.25,0,4.71,254.67,255.40,253.78,156.38,154.97,153.61,116.63,115.62,117.51,89.88,75.88,82.88,188.19,216.82,0.31
87.5,6.25,0,6.25,0,3.62,184.29,194.74,195.16,130.95,128.70,114.32,88.95,83.98,97.15,67.36,52.01,59.69,146.90,157.70,0.32
87.5,6.25,0,6.25,0,3.62,184.12,194.60,195.21,130.76,128.61,114.29,88.95,83.98,97.15,67.37,52.03,59.70,146.80,157.72,0.32
87.5,6.25,0,6.25,0,3.62,199.95,199.95,196.48,117.87,122.69,122.69,85.65,94.67,94.67,70.54,59.21,64.88,146.99,169.67,0.31
6.25,6.25,0,87.5,0,3.82,198.93,198.51,199.42,148.29,146.95,147.31,73.07,73.42,75.13,54.61,42.23,48.42,164.66,132.29,0.37
6.25,6.25,0,87.5,0,3.82,198.39,199.01,199.38,148.26,147.22,146.97,73.06,75.13,73.42,54.61,42.23,48.42,164.63,132.29,0.37
6.25,6.25,0,87.5,0,3.82,201.18,198.28,201.79,146.66,144.29,151.06,73.76,79.21,72.39,55.69,43.11,49.40,165.03,134.76,0.36
